# lineBreakTable from WebKit-7625.1.29.11.27 (2756e8be58521b10c8e8bff8da1f13d97f2eae27): unsafeLookup(before, after) for before, after in U+0021..U+00FF.
# Consulted only with LineBreakRules::Normal, when both characters are <= U+00FF (BreakablePositions.h:181-187).
# before	count	afters where a break is allowed before 'after'
AD	173	23 24 25 26 28 2A 2B 30 31 32 33 34 35 36 37 38 39 3C 3D 3E 40 41 42 43 44 45 46 47 48 49 4A 4B 4C 4D 4E 4F 50 51 52 53 54 55 56 57 58 59 5A 5B 5C 5E 5F 60 61 62 63 64 65 66 67 68 69 6A 6B 6C 6D 6E 6F 70 71 72 73 74 75 76 77 78 79 7A 7B 7E A0 A1 A2 A3 A4 A5 A6 A7 A8 A9 AA AC AE AF B0 B1 B2 B3 B4 B5 B6 B7 B8 B9 BA BC BD BE BF C0 C1 C2 C3 C4 C5 C6 C7 C8 C9 CA CB CC CD CE CF D0 D1 D2 D3 D4 D5 D6 D7 D8 D9 DA DB DC DD DE DF E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 EA EB EC ED EE EF F0 F1 F2 F3 F4 F5 F6 F7 F8 F9 FA FB FC FD FE FF
AE	1	B4
AF	1	B4
B0	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
B1	16	24 25 28 2B 5B 5C 7B A1 A2 A3 A4 A5 B0 B1 B4 BF
B2	1	B4
B3	1	B4
B4	0	
B5	1	B4
B6	1	B4
B7	1	B4
B8	1	B4
B9	1	B4
BA	1	B4
BB	0	
BC	1	B4
BD	1	B4
BE	1	B4
BF	0	
C0	1	B4
C1	1	B4
C2	1	B4
C3	1	B4
C4	1	B4
C5	1	B4
C6	1	B4
C7	1	B4
C8	1	B4
C9	1	B4
CA	1	B4
CB	1	B4
CC	1	B4
CD	1	B4
CE	1	B4
CF	1	B4
D0	1	B4
D1	1	B4
D2	1	B4
D3	1	B4
D4	1	B4
D5	1	B4
D6	1	B4
D7	1	B4
D8	1	B4
D9	1	B4
DA	1	B4
DB	1	B4
DC	1	B4
DD	1	B4
DE	1	B4
DF	1	B4
E0	1	B4
E1	1	B4
E2	1	B4
E3	1	B4
E4	1	B4
