line|en_US_POSIX|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|en_US_POSIX|loose	10	0 4 8 11
line|en_US_POSIX|loose	11	0 9
line|en_US_POSIX|loose	12	0 10
line|en_US_POSIX|loose	13	0 5 9 12 15 18 22 25
line|en_US_POSIX|loose	14	0 9 13 17
line|en_US_POSIX|normal	0	0 4 10
line|en_US_POSIX|normal	1	0 1 2 7 8 9
line|en_US_POSIX|normal	2	0 1 2 3 4
line|en_US_POSIX|normal	3	0 4 8 11
line|en_US_POSIX|normal	4	0 1 4 5 6
line|en_US_POSIX|normal	5	0 1 2 3 5 6 7
line|en_US_POSIX|normal	6	0 4 10 13 21
line|en_US_POSIX|normal	7	0 4 5 6 8 16 20 22 29
line|en_US_POSIX|normal	8	0 2 3 6 7 8 10 11 12
line|en_US_POSIX|normal	9	0 1 2 5 6 7 10 11
line|en_US_POSIX|normal	10	0 4 8 11
line|en_US_POSIX|normal	11	0 9
line|en_US_POSIX|normal	12	0 10
line|en_US_POSIX|normal	13	0 5 9 12 15 18 22 25
line|en_US_POSIX|normal	14	0 9 13 17
line|en_US_POSIX|strict	0	0 4 10
line|en_US_POSIX|strict	1	0 1 2 7 8 9
line|en_US_POSIX|strict	2	0 1 3 4
line|en_US_POSIX|strict	3	0 4 8 11
line|en_US_POSIX|strict	4	0 1 4 5 6
line|en_US_POSIX|strict	5	0 1 2 3 5 6 7
line|en_US_POSIX|strict	6	0 4 10 13 21
line|en_US_POSIX|strict	7	0 4 5 6 8 16 20 22 29
line|en_US_POSIX|strict	8	0 2 3 6 7 8 12
line|en_US_POSIX|strict	9	0 2 5 7 10 11
line|en_US_POSIX|strict	10	0 4 8 11
line|en_US_POSIX|strict	11	0 9
line|en_US_POSIX|strict	12	0 10
line|en_US_POSIX|strict	13	0 5 9 12 15 18 22 25
line|en_US_POSIX|strict	14	0 9 13 17
line|fr|default	0	0 10
line|fr|default	1	0 1 8 9
line|fr|default	2	0 1 3 4
line|fr|default	3	0 4 11
line|fr|default	4	0 1 5 6
line|fr|default	5	0 1 2 3 5 6 7
line|fr|default	6	0 4 10 13 21
line|fr|default	7	0 4 5 6 8 16 20 22 29
line|fr|default	8	0 2 3 6 7 8 12
line|fr|default	9	0 2 5 7 10 11
line|fr|default	10	0 4 8 11
line|fr|default	11	0 9
line|fr|default	12	0 10
line|fr|default	13	0 5 9 12 15 18 22 25
line|fr|default	14	0 9 13 17
line|fr|loose	0	0 10
line|fr|loose	1	0 1 8 9
line|fr|loose	2	0 1 2 3 4
line|fr|loose	3	0 4 11
line|fr|loose	4	0 1 5 6
line|fr|loose	5	0 1 2 3 5 6 7
line|fr|loose	6	0 4 10 13 21
line|fr|loose	7	0 4 5 6 8 16 20 22 29
line|fr|loose	8	0 2 3 6 7 8 10 11 12
line|fr|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|fr|loose	10	0 4 8 11
line|fr|loose	11	0 9
line|fr|loose	12	0 10
line|fr|loose	13	0 5 9 12 15 18 22 25
line|fr|loose	14	0 9 13 17
line|fr|normal	0	0 10
line|fr|normal	1	0 1 8 9
line|fr|normal	2	0 1 2 3 4
line|fr|normal	3	0 4 11
line|fr|normal	4	0 1 5 6
line|fr|normal	5	0 1 2 3 5 6 7
line|fr|normal	6	0 4 10 13 21
line|fr|normal	7	0 4 5 6 8 16 20 22 29
line|fr|normal	8	0 2 3 6 7 8 10 11 12
line|fr|normal	9	0 1 2 5 6 7 10 11
line|fr|normal	10	0 4 8 11
line|fr|normal	11	0 9
line|fr|normal	12	0 10
line|fr|normal	13	0 5 9 12 15 18 22 25
line|fr|normal	14	0 9 13 17
line|fr|strict	0	0 10
line|fr|strict	1	0 1 8 9
line|fr|strict	2	0 1 3 4
line|fr|strict	3	0 4 11
line|fr|strict	4	0 1 5 6
line|fr|strict	5	0 1 2 3 5 6 7
line|fr|strict	6	0 4 10 13 21
line|fr|strict	7	0 4 5 6 8 16 20 22 29
line|fr|strict	8	0 2 3 6 7 8 12
line|fr|strict	9	0 2 5 7 10 11
line|fr|strict	10	0 4 8 11
line|fr|strict	11	0 9
line|fr|strict	12	0 10
line|fr|strict	13	0 5 9 12 15 18 22 25
line|fr|strict	14	0 9 13 17
line|de|default	0	0 10
line|de|default	1	0 1 7 8 9
line|de|default	2	0 1 3 4
line|de|default	3	0 4 8 11
line|de|default	4	0 1 4 5 6
line|de|default	5	0 1 2 3 5 6 7
line|de|default	6	0 4 10 13 21
line|de|default	7	0 4 5 6 8 16 20 22 29
line|de|default	8	0 2 3 6 7 8 12
line|de|default	9	0 2 5 7 10 11
line|de|default	10	0 4 8 11
line|de|default	11	0 9
line|de|default	12	0 10
line|de|default	13	0 5 9 12 15 18 22 25
line|de|default	14	0 9 13 17
line|de|loose	0	0 10
line|de|loose	1	0 1 7 8 9
line|de|loose	2	0 1 2 3 4
line|de|loose	3	0 4 8 11
line|de|loose	4	0 1 4 5 6
line|de|loose	5	0 1 2 3 5 6 7
line|de|loose	6	0 4 10 13 21
line|de|loose	7	0 4 5 6 8 16 20 22 29
line|de|loose	8	0 2 3 6 7 8 10 11 12
line|de|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|de|loose	10	0 4 8 11
line|de|loose	11	0 9
line|de|loose	12	0 10
line|de|loose	13	0 5 9 12 15 18 22 25
line|de|loose	14	0 9 13 17
line|de|normal	0	0 10
line|de|normal	1	0 1 7 8 9
line|de|normal	2	0 1 2 3 4
line|de|normal	3	0 4 8 11
line|de|normal	4	0 1 4 5 6
line|de|normal	5	0 1 2 3 5 6 7
line|de|normal	6	0 4 10 13 21
line|de|normal	7	0 4 5 6 8 16 20 22 29
line|de|normal	8	0 2 3 6 7 8 10 11 12
line|de|normal	9	0 1 2 5 6 7 10 11
line|de|normal	10	0 4 8 11
line|de|normal	11	0 9
line|de|normal	12	0 10
line|de|normal	13	0 5 9 12 15 18 22 25
line|de|normal	14	0 9 13 17
line|de|strict	0	0 10
line|de|strict	1	0 1 7 8 9
line|de|strict	2	0 1 3 4
line|de|strict	3	0 4 8 11
line|de|strict	4	0 1 4 5 6
line|de|strict	5	0 1 2 3 5 6 7
line|de|strict	6	0 4 10 13 21
line|de|strict	7	0 4 5 6 8 16 20 22 29
line|de|strict	8	0 2 3 6 7 8 12
line|de|strict	9	0 2 5 7 10 11
line|de|strict	10	0 4 8 11
line|de|strict	11	0 9
line|de|strict	12	0 10
line|de|strict	13	0 5 9 12 15 18 22 25
line|de|strict	14	0 9 13 17
line|es|default	0	0 4 10
line|es|default	1	0 1 2 7 8 9
line|es|default	2	0 1 3 4
line|es|default	3	0 4 8 11
line|es|default	4	0 1 4 5 6
line|es|default	5	0 1 2 3 5 6 7
line|es|default	6	0 4 10 13 21
line|es|default	7	0 4 5 6 8 16 20 22 29
line|es|default	8	0 2 3 6 7 8 12
line|es|default	9	0 2 5 7 10 11
line|es|default	10	0 4 8 11
line|es|default	11	0 9
line|es|default	12	0 10
line|es|default	13	0 5 9 12 15 18 22 25
line|es|default	14	0 9 13 17
line|es|loose	0	0 4 10
line|es|loose	1	0 1 2 7 8 9
line|es|loose	2	0 1 2 3 4
line|es|loose	3	0 4 8 11
line|es|loose	4	0 1 4 5 6
line|es|loose	5	0 1 2 3 5 6 7
line|es|loose	6	0 4 10 13 21
line|es|loose	7	0 4 5 6 8 16 20 22 29
line|es|loose	8	0 2 3 6 7 8 10 11 12
line|es|loose	9	0 1 2 3 4 5 6 7 9 10 11
line|es|loose	10	0 4 8 11
line|es|loose	11	0 9
line|es|loose	12	0 10
line|es|loose	13	0 5 9 12 15 18 22 25
line|es|loose	14	0 9 13 17
line|es|normal	0	0 4 10
line|es|normal	1	0 1 2 7 8 9
line|es|normal	2	0 1 2 3 4
line|es|normal	3	0 4 8 11
line|es|normal	4	0 1 4 5 6
line|es|normal	5	0 1 2 3 5 6 7
line|es|normal	6	0 4 10 13 21
line|es|normal	7	0 4 5 6 8 16 20 22 29
line|es|normal	8	0 2 3 6 7 8 10 11 12
line|es|normal	9	0 1 2 5 6 7 10 11
