# libicucore u_getVersion=78.1 uloc_getDefault=en_US_POSIX; 36 BMP Line_Break=QU characters
# locale	behavior	quote	left	right	text(hex)	ubrk_open	openBinaryRules
# overrides (empty): U+201C->OP U+201D->CL U+2018->OP
(empty)	default	U+2018	CL 、	HY -	3001 2018 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	SP	3001 2018 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	OP (	3001 2018 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	CP )	3001 2018 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	EX !	3001 2018 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	IS ,	3001 2018 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	GL NBSP	3001 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	B2 —	3001 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	CL 、	SA ก	3001 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	sot/eot	2014 2018	0 1 2	0 2	emulation-ok
(empty)	default	U+2018	B2 —	AL a	2014 2018 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	NU 1	2014 2018 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	HY -	2014 2018 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	SP	2014 2018 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	OP (	2014 2018 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	CP )	2014 2018 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	EX !	2014 2018 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	IS ,	2014 2018 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	ID 中	2014 2018 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	H2 가	2014 2018 AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	ID あ	2014 2018 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	CL 、	2014 2018 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	GL NBSP	2014 2018 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	B2 —	2014 2018 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+2018	B2 —	SA ก	2014 2018 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	sot/eot	002D 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	HY -	AL a	002D 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	NU 1	002D 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	HY -	002D 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	SP	002D 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	OP (	002D 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	CP )	002D 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	EX !	002D 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	IS ,	002D 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	ID 中	002D 201C 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	H2 가	002D 201C AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	ID あ	002D 201C 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	CL 、	002D 201C 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	GL NBSP	002D 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	B2 —	002D 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	HY -	SA ก	002D 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	sot/eot	0029 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	CP )	AL a	0029 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	NU 1	0029 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	HY -	0029 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	SP	0029 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	OP (	0029 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	CP )	0029 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	EX !	0029 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	IS ,	0029 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	ID 中	0029 201C 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	H2 가	0029 201C AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	ID あ	0029 201C 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	CL 、	0029 201C 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	GL NBSP	0029 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	B2 —	0029 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	CP )	SA ก	0029 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	sot/eot	0021 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	EX !	AL a	0021 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	NU 1	0021 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	HY -	0021 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	SP	0021 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	OP (	0021 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	CP )	0021 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	EX !	0021 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	IS ,	0021 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	ID 中	0021 201C 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	H2 가	0021 201C AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	ID あ	0021 201C 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	CL 、	0021 201C 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	GL NBSP	0021 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	B2 —	0021 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	EX !	SA ก	0021 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	sot/eot	002C 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	IS ,	AL a	002C 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	NU 1	002C 201C 0031	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	HY -	002C 201C 002D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	SP	002C 201C 0020	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	OP (	002C 201C 0028	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	CP )	002C 201C 0029	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	EX !	002C 201C 0021	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	IS ,	002C 201C 002C	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	ID 中	002C 201C 4E2D	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	H2 가	002C 201C AC00	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	ID あ	002C 201C 3042	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	CL 、	002C 201C 3001	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	GL NBSP	002C 201C 00A0	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	B2 —	002C 201C 2014	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	IS ,	SA ก	002C 201C 0E01	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	sot/eot	4E2D 201C	0 1 2	0 2	emulation-ok
(empty)	default	U+201C	ID 中	AL a	4E2D 201C 0061	0 1 3	0 3	emulation-ok
(empty)	default	U+201C	ID 中	NU 1	4E2D 201C 0031	0 1 3	0 3	emulation-ok
