language	serif	sans-serif	cursive	fantasy	monospace
jgo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jgo-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jmc	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jmc-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
jv-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ka	Helvetica	Helvetica	Helvetica	Helvetica	Menlo
ka-GE	Helvetica	Helvetica	Helvetica	Helvetica	Menlo
kab	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kab-DZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kaj	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kaj-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kam	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kam-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kcg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kcg-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kde	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kde-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kea	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kea-CV	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kgp	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kgp-BR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
khq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
khq-ML	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ki	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ki-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kk-Cyrl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kk-Cyrl-KZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kk-KZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kkj	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kkj-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kl-GL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kln	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kln-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
km	Khmer Sangam MN	Khmer Sangam MN	Khmer Sangam MN	Khmer Sangam MN	Menlo
km-KH	Khmer Sangam MN	Khmer Sangam MN	Khmer Sangam MN	Khmer Sangam MN	Menlo
kn	Noto Sans Kannada	Noto Sans Kannada	Noto Sans Kannada	Noto Sans Kannada	Menlo
kn-IN	Noto Sans Kannada	Noto Sans Kannada	Noto Sans Kannada	Noto Sans Kannada	Menlo
ko	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Menlo
ko-CN	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Menlo
ko-KP	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Menlo
ko-KR	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Apple SD Gothic Neo	Menlo
kok	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kok-Deva	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kok-Deva-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kok-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kok-Latn-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kpe	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kpe-GN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kpe-LR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ks	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Courier New
ks-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ks-Arab-IN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ks-Aran-IN	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Courier New
ks-Deva	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ks-Deva-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksb	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksb-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksf	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksf-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ksh-DE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ku	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ku-TR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kw-GB	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Deva	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Deva-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Latn-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Orya	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Orya-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Telu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kxv-Telu-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ky	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ky-KG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lag	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lag-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lb	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lb-LU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lg-UG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lij	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lij-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lkt	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lkt-US	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lmo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
lmo-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ln	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
