language	serif	sans-serif	cursive	fantasy	monospace
pt-CH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-CV	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-FR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-GQ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-GW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-LU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-MO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-MZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-PT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-ST	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pt-TL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
qu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
qu-BO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
qu-EC	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
qu-PE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
raj	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
raj-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rej	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rej-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rej-Rjng	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rej-Rjng-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rhg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rhg-Rohg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rhg-Rohg-BD	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rhg-Rohg-MM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rm-CH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rn-BI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ro	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ro-MD	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ro-RO	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
rof	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rof-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ru	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-BY	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-KG	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-KZ	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-MD	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-RU	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ru-UA	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
rw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rw-RW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rwk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
rwk-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sa	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sa-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sah	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sah-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
saq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
saq-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sat	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sat-Deva	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sat-Deva-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sat-Olck	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sat-Olck-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sbp	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sbp-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sc	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sc-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
scn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
scn-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sd	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
sd-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
sd-Arab-PK	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
sd-Deva	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sd-Deva-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
se	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
se-FI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
se-NO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
se-SE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
seh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
seh-MZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ses	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ses-ML	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sg-CF	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shi	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shi-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shi-Latn-MA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shi-Tfng	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shi-Tfng-MA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
si	Sinhala Sangam MN	Sinhala Sangam MN	Sinhala Sangam MN	Sinhala Sangam MN	Menlo
si-LK	Sinhala Sangam MN	Sinhala Sangam MN	Sinhala Sangam MN	Sinhala Sangam MN	Menlo
sjd	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sje	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sju	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sk-SK	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sl-SI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sm-AS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sm-WS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
smn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
smn-FI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sn-ZW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
so	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
so-DJ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
so-ET	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
so-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
so-SO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sq-AL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sq-MK	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sq-XK	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sr	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Cyrl	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Cyrl-BA	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Cyrl-ME	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Cyrl-RS	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Cyrl-XK	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Latn	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Latn-BA	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Latn-ME	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Latn-RS	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
sr-Latn-XK	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ss	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ss-SZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ss-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
st	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
st-LS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
st-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
su	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
su-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
su-Latn-ID	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sv-AX	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sv-FI	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sv-SE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sw-CD	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sw-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sw-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
sw-UG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
syr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
syr-IQ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
syr-SY	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
szl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
szl-PL	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ta	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Menlo
ta-IN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Menlo
ta-LK	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Menlo
ta-MY	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Menlo
ta-SG	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Tamil Sangam MN	Menlo
te	Kohinoor Telugu	Kohinoor Telugu	Kohinoor Telugu	Kohinoor Telugu	Menlo
te-IN	Kohinoor Telugu	Kohinoor Telugu	Kohinoor Telugu	Kohinoor Telugu	Menlo
teo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
teo-KE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
teo-UG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tg	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tg-TJ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
th	Thonburi	Thonburi	Thonburi	Thonburi	Menlo
th-TH	Thonburi	Thonburi	Thonburi	Thonburi	Menlo
ti	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ti-ER	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ti-ET	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tig	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tig-ER	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tk-TM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tn-BW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tn-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
to	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
to-TO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tok	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tok-001	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tr	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
tr-CY	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
tr-TR	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
trv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
trv-TW	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ts	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ts-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tt	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tt-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
twq	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
twq-NE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tzm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tzm-MA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ug	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ug-CN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
uk	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
uk-UA	.Times Fallback	Helvetica	Snell Roundhand	Snell Roundhand	Menlo
ur	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Menlo
ur-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ur-Arab-IN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ur-Arab-PK	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ur-Aran-IN	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Courier New
ur-Aran-PK	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Noto Nastaliq Urdu	Courier New
uz	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
uz-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
uz-Arab-AF	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
uz-Cyrl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
uz-Cyrl-UZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
uz-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
uz-Latn-UZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vai	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vai-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vai-Latn-LR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vai-Vaii	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vai-Vaii-LR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ve	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ve-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vec	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vec-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vi	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vi-VN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vmw	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vmw-MZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vun	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
vun-TZ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wa	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wa-BE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wae	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wae-CH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wal	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wal-ET	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
wo-SN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xh-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xnr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xnr-IN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xog	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
xog-UG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yav	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yav-CM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yi	.Times Fallback	Arial Hebrew	Arial Hebrew	Arial Hebrew	Courier New
yi-UA	.Times Fallback	Arial Hebrew	Arial Hebrew	Arial Hebrew	Courier New
yo	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yo-BJ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yo-NG	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yrl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yrl-BR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yrl-CO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yrl-VE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yue	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
yue-Hans	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
yue-Hans-CN	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
yue-Hant	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
yue-Hant-CN	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
yue-Hant-HK	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
za	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
za-CN	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
zgh	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
zgh-MA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
zh	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-CN	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-HK	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-JP	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-MO	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-MY	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hans-SG	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-Hant	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zh-Hant-CN	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zh-Hant-HK	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
zh-Hant-JP	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zh-Hant-MO	PingFang MO	PingFang MO	PingFang MO	PingFang MO	Menlo
zh-Hant-MY	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zh-Hant-TW	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zu	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
zu-ZA	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
acf	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
bla	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
bua	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
bua-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
com	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
cr	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
crj	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
crk	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
crl	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
crm	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
cst	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
cwd	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
en-ES	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
en-GE	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
en-GS	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
en-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
en-RO	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
fla	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
gcf	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
hch	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ht	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ht-HT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
isc	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kio	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
kk-Arab	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
kk-Arab-CN	Geeza Pro	Geeza Pro	Geeza Pro	Geeza Pro	Courier New
ku-Latn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ku-Latn-IQ	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ku-Latn-SY	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
ku-Latn-TR	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
nez	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pms	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
pms-IT	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shn	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shn-MM	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shn-TH	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
shp	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
srs	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tyv	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
tyv-RU	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
yue-Hant-MO	PingFang MO	PingFang MO	PingFang MO	PingFang MO	Menlo
zh-CN	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
zh-TW	PingFang TC	PingFang TC	PingFang TC	PingFang TC	Menlo
zh-HK	PingFang HK	PingFang HK	PingFang HK	PingFang HK	Menlo
zh-MO	PingFang MO	PingFang MO	PingFang MO	PingFang MO	Menlo
zh-SG	PingFang SC	PingFang SC	PingFang SC	PingFang SC	Menlo
und	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
mul	.Times Fallback	Helvetica	Snell Roundhand	Zapfino	Menlo
